date,model,market,symbol,name,score,rank,result_7d,result_30d
2026-03-06,AntRadar,KR,005930.KS,삼성전자,-0.651322839334092,,측정 중...,
2026-03-06,AntRadar,KR,000660.KS,SK하이닉스,-0.6042528553961198,,측정 중...,
2026-03-06,AntRanker,KR,005930.KS,삼성전자,1.0,1.0,,측정 중...
2026-03-06,AntRanker,KR,000660.KS,SK하이닉스,0.95,2.0,,측정 중...
2026-02-27,AntRadar,US,TSLA,테슬라,0.0821,,+12.5%,
2026-02-27,AntRadar,US,NVDA,엔비디아,0.0915,,+8.2%,
2026-02-27,AntRadar,US,AAPL,애플,0.0452,,측정 중...,
2026-02-27,AntRadar,KR,005930.KS,삼성전자,0.0654,,측정 중...,
2026-02-27,AntRanker,US,MSFT,마이크로소프트,0.9215,1.0,,+5.4%
2026-02-27,AntRanker,US,GOOGL,알파벳(구글),0.8842,2.0,,+3.1%
2026-02-27,AntRanker,KR,000660.KS,SK하이닉스,0.8942,1.0,,측정 중...
2026-02-26,AntRadar,US,AMD,AMD,0.0765,,+15.2%,
2026-02-26,AntRanker,US,META,메타(페이스북),0.9102,1.0,,+7.8%
